Ward,Searches,Searches which got estimate,Searches for Quotes,Searches which got Quotes,Bookings,Completed Trips,Search-to-estimate Rate,Estimate-to-search for quotes Rate,Quote Acceptance Rate,Quote-to-booking Rate,Cancelled Bookings,Booking Cancellation Rate,Conversion Rate,Drivers' Earnings,Average Distance per Trip (km),Average Fare per Trip,Distance Travelled (km),Cancellation Impact
Veeramadakari,"2,20,637","2,19,153","1,62,699","1,11,091",108624.0,"70,763",99.3%,74.2%,68.3%,97.8%,37831.0,34.8%,32.1%,"₹93,32,952",7.09,₹125.90,"5,37,835",34.82747827367801
Kodigehalli,"1,96,145","1,94,961","1,49,308","1,07,883",105725.0,"70,564",99.4%,76.6%,72.3%,98.0%,35140.0,33.2%,36.0%,"₹1,02,30,486",7.6,₹133.63,"5,93,640",33.23717190825254
Chunchaghatta,"2,17,645","2,15,880","1,68,160","1,02,629",100846.0,"69,785",99.2%,77.9%,61.0%,98.3%,31050.0,30.8%,32.1%,"₹98,09,361",8.04,₹142.83,"5,61,909",30.78952065525653
Girinagar,"1,51,298","1,50,124","1,09,429","94,526",92674.0,"68,559",99.2%,72.9%,86.4%,98.0%,24098.0,26.0%,45.3%,"₹81,20,554",6.16,₹110.86,"4,64,514",26.002978181582755
Vidyaranyapura,"1,62,334","1,61,161","1,15,878","94,688",92989.0,"68,434",99.3%,71.9%,81.7%,98.2%,24532.0,26.4%,42.2%,"₹1,02,60,458",8.23,₹142.87,"6,01,776",26.3816150297347
Puttenahalli - Sarakki Lake,"2,07,078","2,05,166","1,62,436","1,05,664",103627.0,"68,322",99.1%,79.2%,65.0%,98.1%,35287.0,34.1%,33.0%,"₹89,25,759",6.89,₹124.26,"5,02,544",34.05193627143505
Vijnana Nagar,"2,84,810","2,82,184","2,36,325","1,02,203",100939.0,"67,616",99.1%,83.7%,43.3%,98.8%,33306.0,33.0%,23.7%,"₹1,04,84,765",8.31,₹148.27,"5,91,561",32.99616600124828
Ramamurthy Nagara,"2,32,429","2,31,146","1,81,021","1,02,245",100972.0,"66,479",99.5%,78.3%,56.5%,98.8%,34467.0,34.1%,28.6%,"₹93,19,066",7.22,₹130.58,"5,26,973",34.13520579962762
Kacharkanahalli,"1,91,730","1,90,608","1,51,235","1,00,993",99607.0,"65,419",99.4%,79.3%,66.8%,98.6%,34157.0,34.3%,34.1%,"₹83,39,738",6.79,₹123.42,"4,68,312",34.29176664290662
New Bayappanahalli,"2,54,107","2,52,254","2,09,679","1,08,901",107300.0,"65,408",99.3%,83.1%,51.9%,98.5%,41874.0,39.0%,25.7%,"₹88,28,102",6.72,₹121.67,"4,95,902",39.025163094128615
Uttarahalli,"1,86,490","1,85,055","1,40,087","98,160",95735.0,"65,255",99.2%,75.7%,70.1%,97.5%,30463.0,31.8%,35.0%,"₹83,20,142",7.63,₹135.69,"4,73,598",31.820128479657388
Begur,"2,65,563","2,63,194","2,09,042","1,06,436",104409.0,"65,013",99.1%,79.4%,50.9%,98.1%,39383.0,37.7%,24.5%,"₹1,08,98,601",9.51,₹165.47,"6,32,169",37.7199283586664
Kaval Bairasandra,"1,93,601","1,92,567","1,52,405","97,995",96136.0,"63,841",99.5%,79.1%,64.3%,98.1%,32275.0,33.6%,33.0%,"₹85,33,133",6.86,₹124.91,"4,83,576",33.57223100607472
Malleswaram,"1,66,854","1,65,380","1,22,220","93,842",91944.0,"63,512",99.1%,73.9%,76.8%,98.0%,28406.0,30.9%,38.1%,"₹76,87,376",6.73,₹120.55,"4,36,550",30.894892543287217
Varthuru,"4,02,250","3,90,539","3,24,590","1,05,265",103606.0,"62,888",97.1%,83.1%,32.4%,98.4%,40705.0,39.3%,15.6%,"₹1,29,61,411",10.96,₹190.49,"7,59,723",39.288265158388505
Hagadur,"2,78,239","2,74,893","2,17,235","1,04,341",102653.0,"62,887",98.8%,79.0%,48.0%,98.4%,39751.0,38.7%,22.6%,"₹1,11,27,797",8.77,₹153.23,"6,43,245",38.723661266597176
Padmanabha Nagar,"1,58,399","1,57,105","1,20,091","90,719",88380.0,"62,331",99.2%,76.4%,75.5%,97.4%,26035.0,29.5%,39.4%,"₹73,40,332",6.31,₹113.41,"4,14,667",29.458022176963112
Chamrajapet,"2,00,517","1,98,991","1,50,994","1,04,756",102838.0,"61,777",99.2%,75.9%,69.4%,98.2%,41031.0,39.9%,30.8%,"₹77,86,960",6.75,₹120.21,"4,45,176",39.89867558684533
Umamaheshwara Ward,"1,64,543","1,63,007","1,25,458","91,960",89945.0,"61,347",99.1%,77.0%,73.3%,97.8%,28580.0,31.8%,37.3%,"₹74,19,194",5.88,₹107.51,"4,18,110",31.77497359497471
Yelahanka Satellite Town,"1,69,746","1,68,473","1,20,260","96,807",95135.0,"61,324",99.3%,71.4%,80.5%,98.3%,33788.0,35.5%,36.1%,"₹98,08,967",8.69,₹149.50,"5,77,463",35.515845903190204
Anjanapura,"1,81,644","1,79,006","1,35,191","91,485",88729.0,"60,694",98.6%,75.5%,67.7%,97.0%,28021.0,31.6%,33.4%,"₹91,40,657",8.31,₹144.46,"5,31,947",31.580430299000326
Jayachamarajendra  Nagar,"1,67,767","1,66,630","1,30,339","90,839",89181.0,"60,216",99.3%,78.2%,69.7%,98.2%,28949.0,32.5%,35.9%,"₹78,87,322",6.65,₹120.71,"4,47,086",32.46095020239737
